lab_id,date_collected,site,lab_sample,oyster_zone,light_regime,date_processed,ww_total_g,height_mm,length_mm,width_mm,condition,dissection_notes,mantle_rftm,ggr_etoh,ggr_etoh,adductor_etoh,cross_histology,date_davidsons,date_etoh
0423ASHC_25,2023-04-23,ASHC,25,lower,NA,2023-04-26,86.61,100.1,63.13,21.67,medium,,TRUE,TRUE,TRUE,TRUE,TRUE,2023-04-26,2023-04-28
0423ASHC_26,2023-04-23,ASHC,26,lower,NA,2023-04-26,42.24,88.43,49.09,20.72,medium,,TRUE,TRUE,TRUE,TRUE,TRUE,2023-04-26,2023-04-28
0423ASHC_27,2023-04-23,ASHC,27,lower,NA,2023-04-26,41.08,69.55,53.66,18.6,watery,,TRUE,TRUE,TRUE,TRUE,TRUE,2023-04-26,2023-04-28
0423ASHC_28,2023-04-23,ASHC,28,lower,NA,2023-04-26,86.41,90.35,58.23,23.96,fat,,TRUE,TRUE,TRUE,TRUE,TRUE,2023-04-26,2023-04-28
0423ASHC_29,2023-04-23,ASHC,29,lower,NA,2023-04-26,82.47,87.27,55.51,28.3,medium,,TRUE,TRUE,TRUE,TRUE,TRUE,2023-04-26,2023-04-28
0423ASHC_30,2023-04-23,ASHC,30,lower,NA,2023-04-26,79.39,93.18,50.16,26.79,medium,,TRUE,TRUE,TRUE,TRUE,TRUE,2023-04-26,2023-04-28
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,                                                                                                                     ,,,,,,,,,,,,,
