Quadrat,Season,Year,Survival_status,Site,Date_collected,State,Count
5,Fall,2024,Gaping,GOLD,8/14/2024,NY,0
6,Fall,2024,Live,GOLD,8/14/2024,NY,56
6,Fall,2024,Box,GOLD,8/14/2024,NY,43
6,Fall,2024,Gaping,GOLD,8/14/2024,NY,0
1,Fall,2023,Live,ASHC,10/3/2023,CT,87
1,Fall,2023,Box,ASHC,10/3/2023,CT,25
1,Fall,2023,Gaping,ASHC,10/3/2023,CT,0
2,Fall,2023,Live,ASHC,10/3/2023,CT,91
2,Fall,2023,Box,ASHC,10/3/2023,CT,28
2,Fall,2023,Gaping,ASHC,10/3/2023,CT,0
3,Fall,2023,Live,ASHC,10/3/2023,CT,143
3,Fall,2023,Box,ASHC,10/3/2023,CT,48
3,Fall,2023,Gaping,ASHC,10/3/2023,CT,0
4,Fall,2023,Live,ASHC,10/3/2023,CT,34
4,Fall,2023,Box,ASHC,10/3/2023,CT,21
4,Fall,2023,Gaping,ASHC,10/3/2023,CT,0
5,Fall,2023,Live,ASHC,10/3/2023,CT,13
5,Fall,2023,Box,ASHC,10/3/2023,CT,9
5,Fall,2023,Gaping,ASHC,10/3/2023,CT,0
6,Fall,2023,Live,ASHC,10/3/2023,CT,75
6,Fall,2023,Box,ASHC,10/3/2023,CT,27
6,Fall,2023,Gaping,ASHC,10/3/2023,CT,0
1,Fall,2023,Live,FENC,10/5/2023,CT,92
1,Fall,2023,Box,FENC,10/5/2023,CT,23
1,Fall,2023,Gaping,FENC,10/5/2023,CT,0
2,Fall,2023,Live,FENC,10/5/2023,CT,32
2,Fall,2023,Box,FENC,10/5/2023,CT,5
2,Fall,2023,Gaping,FENC,10/5/2023,CT,0
3,Fall,2023,Live,FENC,10/5/2023,CT,80
3,Fall,2023,Box,FENC,10/5/2023,CT,9
3,Fall,2023,Gaping,FENC,10/5/2023,CT,0
4,Fall,2023,Live,FENC,10/5/2023,CT,59
4,Fall,2023,Box,FENC,10/5/2023,CT,31
4,Fall,2023,Gaping,FENC,10/5/2023,CT,0
5,Fall,2023,Live,FENC,10/5/2023,CT,4
5,Fall,2023,Box,FENC,10/5/2023,CT,9
5,Fall,2023,Gaping,FENC,10/5/2023,CT,0
6,Fall,2023,Live,FENC,10/5/2023,CT,16
6,Fall,2023,Box,FENC,10/5/2023,CT,5
6,Fall,2023,Gaping,FENC,10/5/2023,CT,0
7,Fall,2023,Live,FENC,10/5/2023,CT,69
7,Fall,2023,Box,FENC,10/5/2023,CT,2
7,Fall,2023,Gaping,FENC,10/5/2023,CT,0
8,Fall,2023,Live,FENC,10/5/2023,CT,96
8,Fall,2023,Box,FENC,10/5/2023,CT,20
8,Fall,2023,Gaping,FENC,10/5/2023,CT,2
9,Fall,2023,Live,FENC,10/5/2023,CT,21
9,Fall,2023,Box,FENC,10/5/2023,CT,12
9,Fall,2023,Gaping,FENC,10/5/2023,CT,2
10,Fall,2023,Live,FENC,10/5/2023,CT,0
10,Fall,2023,Box,FENC,10/5/2023,CT,2
10,Fall,2023,Gaping,FENC,10/5/2023,CT,0
11,Fall,2023,Live,FENC,10/5/2023,CT,25
11,Fall,2023,Box,FENC,10/5/2023,CT,6
11,Fall,2023,Gaping,FENC,10/5/2023,CT,0
12,Fall,2023,Live,FENC,10/5/2023,CT,28
12,Fall,2023,Box,FENC,10/5/2023,CT,5
12,Fall,2023,Gaping,FENC,10/5/2023,CT,0
1,Fall,2023,Live,GOLD,10/16/2023,NY,20
1,Fall,2023,Box,GOLD,10/16/2023,NY,6
1,Fall,2023,Gaping,GOLD,10/16/2023,NY,0
2,Fall,2023,Live,GOLD,10/16/2023,NY,38
2,Fall,2023,Box,GOLD,10/16/2023,NY,23
2,Fall,2023,Gaping,GOLD,10/16/2023,NY,0
3,Fall,2023,Live,GOLD,10/16/2023,NY,60
3,Fall,2023,Box,GOLD,10/16/2023,NY,17
3,Fall,2023,Gaping,GOLD,10/16/2023,NY,0
1,Fall,2023,Live,LAUR,10/17/2023,NY,5
1,Fall,2023,Box,LAUR,10/17/2023,NY,7
1,Fall,2023,Gaping,LAUR,10/17/2023,NY,0
2,Fall,2023,Live,LAUR,10/17/2023,NY,6
2,Fall,2023,Box,LAUR,10/17/2023,NY,10
2,Fall,2023,Gaping,LAUR,10/17/2023,NY,0
3,Fall,2023,Live,LAUR,10/17/2023,NY,7
3,Fall,2023,Box,LAUR,10/17/2023,NY,14
3,Fall,2023,Gaping,LAUR,10/17/2023,NY,0
