Sample ID,Date and Time,Nucleic Acid,Unit,A260 (Abs),A280 (Abs),260/280,Sample Type
0823GOLD_23,4/18/2024 11:21:06 AM,176.8,ng/µl,3.536,1.914,1.85,DNA
0823GOLD_24,4/18/2024 11:21:37 AM,225,ng/µl,4.501,2.423,1.86,DNA
0823GOLD_24,4/18/2024 11:21:53 AM,226.4,ng/µl,4.528,2.448,1.85,DNA
0823GOLD_25,4/18/2024 11:22:28 AM,288.6,ng/µl,5.773,2.881,2,DNA
0823GOLD_25,4/18/2024 11:22:44 AM,288.6,ng/µl,5.772,2.896,1.99,DNA
0823GOLD_26,4/18/2024 11:23:16 AM,152.1,ng/µl,3.042,1.586,1.92,DNA
0823GOLD_26,4/18/2024 11:23:32 AM,152.7,ng/µl,3.054,1.604,1.9,DNA
0823GOLD_27,4/18/2024 11:24:05 AM,311.1,ng/µl,6.222,3.366,1.85,DNA
0823GOLD_27,4/18/2024 11:24:23 AM,311.9,ng/µl,6.237,3.388,1.84,DNA
0823GOLD_28,4/18/2024 11:25:23 AM,314.5,ng/µl,6.291,3.286,1.91,DNA
0823GOLD_28,4/18/2024 11:25:41 AM,313.4,ng/µl,6.268,3.273,1.91,DNA
0823GOLD_29,4/18/2024 11:26:11 AM,318.8,ng/µl,6.376,3.394,1.88,DNA
0823GOLD_29,4/18/2024 11:26:28 AM,321,ng/µl,6.419,3.415,1.88,DNA
0823GOLD_30,4/18/2024 11:26:54 AM,248.8,ng/µl,4.976,2.819,1.77,DNA
0823GOLD_30,4/18/2024 11:27:11 AM,248.7,ng/µl,4.973,2.816,1.77,DNA
