Field ID,Date,Site,State,Bag_number,Individual,Shell_length,Survival,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,71,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,72,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,73,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,74,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,75,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,76,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,77,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,78,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,79,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,80,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,81,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,82,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,83,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,84,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,85,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,86,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,87,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,88,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,89,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,90,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,91,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,92,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,93,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,94,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,95,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,96,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,97,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,98,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,99,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,100,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,1,69.72,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,2,42.53,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,3,60.21,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,4,56.93,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,5,44.46,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,6,41.47,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,7,33.61,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,8,54.84,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,9,60.03,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,10,42.22,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,11,57.26,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,12,57.27,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,13,42.2,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,14,39.16,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,15,40.14,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,16,38.48,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,17,35.73,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,18,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,19,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,20,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,21,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,22,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,23,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,24,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,25,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,26,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,27,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,28,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,29,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,30,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,31,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,32,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,33,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,34,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,35,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,36,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,37,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,38,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,39,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,40,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,41,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,42,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,43,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,44,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,45,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,46,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,47,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,48,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,49,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,50,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,51,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,52,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,53,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,54,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,55,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,56,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,57,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,58,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,59,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,60,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,61,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,62,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,63,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,64,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,65,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,66,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,67,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,68,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,69,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,70,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,71,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,72,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,73,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,74,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,75,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,76,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,77,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,78,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,79,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,80,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,81,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,82,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,83,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,84,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,85,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,86,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,87,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,88,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,89,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,90,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,91,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,92,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,93,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,94,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,95,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,96,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,97,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,98,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,99,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,2,100,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,1,40.96,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,2,35.83,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,3,58.59,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,4,45.55,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,5,50.91,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,6,41.44,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,7,44.95,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,8,38.43,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,9,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,10,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,11,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,12,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,13,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,14,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,15,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,16,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,17,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,18,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,19,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,20,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,21,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,22,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,23,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,24,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,25,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,26,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,27,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,28,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,29,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,30,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,31,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,32,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,33,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,34,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,35,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,36,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,37,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,38,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,39,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,40,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,41,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,42,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,43,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,44,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,45,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,46,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,47,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,48,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,49,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,50,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,51,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,52,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,53,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,54,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,55,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,56,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,57,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,58,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,59,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,60,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,61,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,62,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,63,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,64,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,65,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,66,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,67,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,68,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,69,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,70,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,71,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,72,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,73,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,74,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,75,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,76,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,77,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,78,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,79,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,80,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,81,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,82,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,83,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,84,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,85,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,86,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,87,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,88,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,89,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,90,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,3,91,,0,,,,,,,,,,,,,,,,,,
